CountryCode,Language,IsOfficial
ABW,Dutch,TRUE
ABW,English,FALSE
ABW,Papiamento,FALSE
ABW,Spanish,FALSE
AFG,Balochi,FALSE
AFG,Dari,TRUE
AFG,Pashto,TRUE
AFG,Turkmenian,FALSE
AFG,Uzbek,FALSE
AGO,Ambo,FALSE
AGO,Chokwe,FALSE
AGO,Kongo,FALSE
AGO,Luchazi,FALSE
AGO,Luimbe-nganguela,FALSE
AGO,Luvale,FALSE
AGO,Mbundu,FALSE
AGO,Nyaneka-nkhumbi,FALSE
AGO,Ovimbundu,FALSE
AIA,English,TRUE
ALB,Albaniana,TRUE
ALB,Greek,FALSE
ALB,Macedonian,FALSE
AND,Catalan,TRUE
AND,French,FALSE
AND,Portuguese,FALSE
AND,Spanish,FALSE
ANT,Dutch,TRUE
ANT,English,FALSE
ANT,Papiamento,TRUE
ARE,Arabic,TRUE
ARE,Hindi,FALSE
ARG,Italian,FALSE
ARG,Spanish,TRUE
ARM,Armenian,TRUE
ARM,Azerbaijani,FALSE
ASM,English,TRUE
ASM,Samoan,TRUE
ASM,Tongan,FALSE
ATG,English,TRUE
AUS,Arabic,FALSE
AUS,English,TRUE
AUS,German,FALSE
AUS,Greek,FALSE
AUS,Italian,FALSE
AUS,Serbo-Croatian,FALSE
AUS,Vietnamese,FALSE
AUT,Czech,FALSE
AUT,German,TRUE
AUT,Hungarian,FALSE
AUT,Polish,FALSE
AUT,Romanian,FALSE
AUT,Serbo-Croatian,FALSE
AUT,Slovene,FALSE
AUT,Turkish,FALSE
AZE,Armenian,FALSE
AZE,Azerbaijani,TRUE
AZE,Lezgian,FALSE
AZE,Russian,FALSE
BDI,French,TRUE
BDI,Kirundi,TRUE
BDI,Swahili,FALSE
BEL,Arabic,FALSE
BEL,Dutch,TRUE
BEL,French,TRUE
BEL,German,TRUE
BEL,Italian,FALSE
BEL,Turkish,FALSE
BEN,Adja,FALSE
BEN,Aizo,FALSE
BEN,Bariba,FALSE
BEN,Fon,FALSE
BEN,Ful,FALSE
BEN,Joruba,FALSE
BEN,Somba,FALSE
BFA,Busansi,FALSE
BFA,Dagara,FALSE
BFA,Dyula,FALSE
BFA,Ful,FALSE
BFA,Gurma,FALSE
BFA,Mossi,FALSE
BGD,Bengali,TRUE
BGD,Chakma,FALSE
BGD,Garo,FALSE
BGD,Khasi,FALSE
BGD,Marma,FALSE
BGD,Santhali,FALSE
BGD,Tripuri,FALSE
BGR,Bulgariana,TRUE
BGR,Macedonian,FALSE
BGR,Romani,FALSE
BGR,Turkish,FALSE
BHR,Arabic,TRUE
BHR,English,FALSE
BIH,Serbo-Croatian,TRUE
BLR,Belorussian,TRUE
BLR,Polish,FALSE
BLR,Russian,TRUE
BLR,Ukrainian,FALSE
BLZ,English,TRUE
BLZ,Garifuna,FALSE
BLZ,Spanish,FALSE
BMU,English,TRUE
BOL,Aimará,TRUE
BOL,Guaraní,FALSE
BOL,Ketšua,TRUE
BOL,Spanish,TRUE
BRA,German,FALSE
BRA,Italian,FALSE
BRA,Japanese,FALSE
BRA,Portuguese,TRUE
BRB,Bajan,FALSE
BRB,English,TRUE
BRN,Chinese,FALSE
BRN,English,FALSE
BRN,Malay,TRUE
BRN,Malay-English,FALSE
BTN,Asami,FALSE
BTN,Dzongkha,TRUE
BTN,Nepali,FALSE
BWA,Khoekhoe,FALSE
BWA,Ndebele,FALSE
BWA,San,FALSE
BWA,Shona,FALSE
BWA,Tswana,FALSE
CAF,Banda,FALSE
CAF,Gbaya,FALSE
CAF,Mandjia,FALSE
CAF,Mbum,FALSE
CAF,Ngbaka,FALSE
CAF,Sara,FALSE
CAN,Chinese,FALSE
CAN,Dutch,FALSE
CAN,English,TRUE
CAN,French,TRUE
CAN,German,FALSE
CAN,Italian,FALSE
CAN,Polish,FALSE
CAN,Portuguese,FALSE
CAN,Punjabi,FALSE
